album,artist,release_date,popularity,danceability,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,Country
Happier,Marshmello,2018-08-17,97,0.687,0.687,0.792,0.0,0.167,-2.749,0.0452,100.015,CA
ASTROWORLD,Travis Scott,2018-08-03,94,0.834,0.834,0.73,0.0,0.124,-3.714,0.222,155.008,CA
My Bad,Khalid,2019-03-07,89,0.645,0.645,0.568,0.266,0.257,-9.127,0.0823,84.999,CA
Hoodie SZN,A Boogie Wit da Hoodie,2018-12-21,91,0.791,0.791,0.587,0.0,0.148,-5.075,0.0413,96.057,CA
Death Race For Love,Juice WRLD,2019-03-08,89,0.685,0.685,0.692,0.0,0.153,-5.122,0.0457,159.966,CA
Without Me,Halsey,2018-10-04,97,0.752,0.752,0.488,9.11e-06,0.0936,-7.05,0.0705,136.041,CA
Freaky,Tory Lanez,2019-03-15,80,0.966,0.966,0.563,0.0,0.105,-5.764,0.0618,104.991,CA
bury a friend,Billie Eilish,2019-01-30,97,0.905,0.905,0.389,0.162,0.106,-14.505,0.332,120.046,CA
Drip Harder,Lil Baby,2018-10-05,92,0.896,0.896,0.671,0.0,0.552,-6.977,0.289,112.502,CA
Talk,Khalid,2019-02-07,95,0.9,0.9,0.4,0.0,0.0876,-8.443,0.124,136.001,CA
"thank u, next",Ariana Grande,2019-02-08,93,0.717,0.717,0.653,0.0,0.101,-5.634,0.0658,106.966,CA
FRIENDS KEEP SECRETS,benny blanco,2018-12-07,84,0.632,0.632,0.686,0.0,0.2,-7.665,0.243,89.949,CA
We All Shine,YNW Melly,2019-01-18,90,0.661,0.661,0.44,0.0,0.128,-9.104,0.0803,149.937,CA
Death Race For Love,Juice WRLD,2019-03-08,89,0.623,0.623,0.608,0.0,0.105,-5.937,0.0434,84.98,CA
"I Can’t Get Enough (benny blanco, Selena Gomez, J Balvin, Tainy)",benny blanco,2019-02-28,93,0.541,0.541,0.468,3.65e-06,0.358,-4.039,0.362,95.266,CA
Famous Cryp,Blueface,2018-12-18,93,0.906,0.906,0.382,0.0,0.113,-12.89,0.269,104.025,CA
wish you were gay,Billie Eilish,2019-03-04,92,0.853,0.853,0.351,9.38e-06,0.752,-10.198,0.241,118.028,CA
Bad Habits,NAV,2019-03-22,67,0.901,0.901,0.69,0.0,0.088,-6.975,0.301,85.009,CA
Dying To Live,Kodak Black,2018-12-14,93,0.861,0.861,0.603,0.0,0.0924,-5.788,0.176,98.043,CA
i'm so tired...,Lauv,2019-01-24,95,0.599,0.599,0.733,0.0,0.242,-7.058,0.203,102.211,CA
Con Calma,Daddy Yankee,2019-01-24,99,0.737,0.737,0.86,1.94e-06,0.0574,-2.652,0.0593,93.989,CA
Pray For The Wicked,Panic! At The Disco,2018-06-22,95,0.579,0.579,0.904,0.0,0.064,-2.729,0.0618,82.014,CA
beerbongs & bentleys,Post Malone,2018-04-27,93,0.68,0.68,0.563,0.0,0.136,-5.843,0.0454,145.028,CA
i am > i was,21 Savage,2018-12-21,93,0.837,0.837,0.636,0.00125,0.342,-7.643,0.086,145.972,CA
Ivy To Roses (Mixtape),Mabel,2019-01-18,93,0.674,0.674,0.881,3.01e-06,0.0793,-2.853,0.147,98.994,CA
The World Is Yours 2,Rich The Kid,2019-03-22,56,0.94,0.94,0.384,0.0,0.0908,-8.158,0.574,100.022,CA
Who Do You Love (with 5 Seconds of Summer),The Chainsmokers,2019-02-07,93,0.51,0.51,0.835,0.0,0.219,-4.673,0.0447,140.024,CA
Narrated For You,Alec Benjamin,2018-11-16,93,0.652,0.652,0.557,0.0,0.124,-5.714,0.0318,150.073,CA
MUDBOY,Sheck Wes,2018-10-05,92,0.729,0.729,0.625,0.00986,0.248,-5.266,0.0315,146.034,CA
Confessions of a Dangerous Mind,Logic,2019-03-22,72,0.796,0.796,0.756,0.0,0.0926,-4.17,0.226,141.959,CA
Sweet but Psycho,Ava Max,2018-08-17,97,0.719,0.719,0.704,0.0,0.166,-4.724,0.0476,133.002,CA
STOKELEY,Ski Mask The Slump God,2018-11-30,87,0.935,0.935,0.552,0.0,0.0952,-9.373,0.335,99.993,CA
Goodbye & Good Riddance,Juice WRLD,2018-12-10,92,0.511,0.511,0.566,0.0,0.34,-7.23,0.2,83.903,CA
Youngblood (Deluxe),5 Seconds of Summer,2018-06-15,87,0.596,0.596,0.854,0.0,0.124,-5.114,0.463,120.274,CA
Suncity,Khalid,2018-10-18,88,0.596,0.596,0.552,0.334,0.104,-10.278,0.097,97.949,CA
Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),Various Artists,2018-12-14,98,0.76,0.76,0.479,0.0,0.0703,-5.574,0.0466,89.911,USA
MIDDLE CHILD,J. Cole,2019-01-23,97,0.837,0.837,0.364,0.0,0.271,-11.713,0.276,123.984,USA
"thank u, next",Ariana Grande,2019-02-08,95,0.778,0.778,0.317,0.0,0.0881,-10.732,0.334,140.048,USA
I AM YOU,YNW Melly,2018-08-03,94,0.759,0.759,0.73,3.06e-06,0.11,-7.985,0.0516,115.007,USA
Wow.,Post Malone,2018-12-24,99,0.833,0.833,0.539,2.1e-06,0.101,-7.399,0.178,99.947,USA
